Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1779960493,10,GET,GET /api/products/?page={page},0.500000,0.000000,280,280,280,280,280,280,280,280,280,280,280,9,0,280,292.7914016666643,243.647928999998,376.42270100000275,3012.222222222222
1779960493,10,GET,GET /api/products/?page={page}&page_size={page_size},0.700000,0.000000,300,310,390,390,410,410,410,410,410,410,410,10,0,300,327.65136790000327,239.67352700000077,492.55683900000236,1844.4
1779960493,10,GET,GET /api/products/?search={keyword},0.500000,0.000000,310,340,370,370,370,370,370,370,370,370,370,10,0,280,303.95002920000206,242.11065999999448,374.8373610000044,56.0
1779960493,10,GET,GET /api/products/?search={keyword}&min_price={min_price}&max_price={max_price}&in_stock={value},0.800000,0.000000,410,410,450,450,450,450,450,450,450,450,450,11,0,300,312.42751972727365,242.72018200000645,452.4603929999955,87.0909090909091
1779960493,10,GET,GET /api/products/?sort_by=price&sort_order=asc,0.900000,0.000000,320,320,340,370,450,450,450,450,450,450,450,17,0,320,350.8377271176466,242.55589599999894,643.7725070000013,3410.0
1779960493,10,GET,GET /api/products/?sort_by=price&sort_order=desc,0.600000,0.000000,300,300,330,330,370,370,370,370,370,370,370,9,0,330,319.212910555555,247.42748099998835,428.6598409999982,3453.0
1779960493,10,GET,GET /api/products/{id},1.400000,0.000000,330,340,350,370,370,400,400,400,400,400,400,26,0,300,320.12950334615385,241.6417860000024,462.6309630000023,172.1153846153846
1779960493,10,POST,POST /api/orders/,3.300000,0.000000,290,300,390,390,430,460,460,460,460,460,460,60,0,300,328.72880473333333,253.24649099999874,501.37618800000183,99.06666666666666
1779960493,10,,Aggregated,16.800000,0.000000,300,340,360,370,410,450,460,460,490,490,490,303,0,310,335.1926004389442,239.67352700000077,738.088753999996,1437.5973597359737
1779960494,10,GET,GET /api/orders/{id},3.600000,0.000000,300,340,350,370,410,460,460,460,460,460,460,68,0,320,337.5156537941178,242.25438999999938,485.6577030000011,248.77941176470588
